District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Illinois 1st,IL-01,Bobby,Rush,(BAH-bee RUHSH),/'bɑ.bi ɹʌʃ/,1946,Baptist,1992,73.1%,26.9%,D+,28,79.6%,20.4%,D+,28,81.3%,18.7%,D+,28,73.1%,26.9%,73.8%,26.2%,37.4%,52.1%,7.4%,2.0%,0.1%,1.0%,,,133,"222,017","162,268","59,749",0,"236,854","83,989",,,27.6,"262,785","67,370",27.6,"288,077","66,262",27.6,712495,252627,374360,62637,12744,977,9150,533507,199662,277796,39223,10511,725,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 2nd,IL-02,Robin,Kelly,(RAH-buhn KELL-ee),/'ɹɑ.bən 'kɛ.li/,1956,Christian,2013*,78.5%,21.4%,D+,29,81.3%,18.7%,D+,29,81.6%,18.4%,D+,28,78.5%,21.5%,73.2%,26.8%,33.4%,53.5%,11.1%,0.7%,0.2%,1.1%,,,134,"204,266","160,337","43,799",130,"188,303","69,115",,,28.7,"251,106","57,674",29.4,"269,943","60,734",27.9,713236,210988,394458,91093,4813,1090,10794,522175,174661,279233,57885,3840,803,5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 3rd,IL-03,Dan,Lipinski,(DAN luh-PIN-skee),/dæn lə.'pɪn.ski/,1966,Roman Catholic,2004,64.6%,35.4%,D+,5,56.8%,43.2%,D+,5,59.0%,41.0%,D+,5,64.6%,35.4%,68.5%,31.5%,66.4%,4.6%,24.4%,3.7%,0.1%,0.8%,,,135,"180,855","116,764","64,091",0,"168,738","77,653",,,5.1,"143,694","109,399",4.8,"159,475","110,701",5.3,712113,442966,33004,202543,25408,700,7492,530768,352468,24196,129692,19738,524,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 4th,IL-04,Luis,Gutiérrez,(loo-EES goo-tee-AIR-ez) [R is trilled],/lu.'is ˌgu.ti.'ɛ.rɛz/,1953,Roman Catholic,1992,78.1%,21.9%,D+,29,82.6%,17.4%,D+,31,81.6%,18.4%,D+,28,78.1%,21.9%,83.0%,17.0%,26.2%,3.9%,65.8%,3.1%,0.1%,0.8%,,,136,"101,944","79,666","22,278",0,"133,226","27,279",,,29.2,"137,059","28,895",30.6,"144,949","32,767",27.9,714974,153066,28121,507444,18802,796,6745,509233,133575,19903,335187,15680,630,4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 5th,IL-05,Mike,Quigley,(MIKE KWIG-lee),/maɪk 'kwɪ.gli/,1959,Roman Catholic,2008,63.2%,30.6%,D+,16,67.5%,32.5%,D+,16,70.8%,29.2%,D+,17,67.4%,32.6%,69.7%,30.3%,73.3%,2.5%,16.1%,6.7%,0.1%,1.3%,,,137,"184,019","116,364","56,350","11,305","177,729","77,289",,,16.3,"188,332","90,747",15.5,"214,869","88,466",17.1,712744,500737,18191,133545,46674,1038,12559,582376,426788,14631,93619,38750,839,7749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 6th,IL-06,Peter,Roskam,(PEE-ter RAH-skum),/'pi.ɾəɹ 'ɹɑ.skəm/,1961,Anglican,2006,32.9%,67.1%,R+,4,45.8%,54.2%,R+,6,52.0%,48.0%,R+,2,32.9%,67.1%,40.8%,59.2%,81.6%,2.3%,7.4%,7.7%,0.1%,0.9%,,,138,"238,752","78,465","160,287",0,"132,991","193,138",,,-3.9,"151,936","179,608",-6.1,"179,195","165,272",-1.7,713102,566319,17544,62309,55511,656,10763,531232,433579,12097,39493,40783,486,4794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 7th,IL-07,Danny,Davis,(DAN-ee DAY-viss),/'dæ.ni 'deɪ.vɪs/,1941,Baptist,1996,85.1%,14.9%,D+,36,88.1%,11.9%,D+,36,90.0%,10.0%,D+,36,85.1%,14.9%,88.5%,11.5%,30.4%,50.0%,11.5%,6.7%,0.1%,1.3%,,,139,"182,278","155,110","27,168",0,"242,439","31,466",,,36.2,"264,093","35,711",36.1,"284,117","31,528",36.3,713505,187438,379266,93446,41349,984,11022,551986,167727,276123,63601,36733,778,7024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 8th,IL-08,Tammy,Duckworth,(TAM-ee DUCK-werth),/'tæ.mi 'dʌ.kwəɹθ/,1968,Deist,2012,55.7%,44.3%,D+,8,58.4%,41.6%,D+,6,62.4%,37.6%,D+,9,55.7%,44.3%,54.7%,45.3%,60.6%,4.0%,22.1%,12.0%,0.1%,1.1%,,,140,"151,056","84,178","66,878",0,"123,206","101,860",,,7.5,"133,209","95,034",6.4,"150,851","91,057",8.7,713275,394154,32457,189016,84946,934,11768,535959,324592,21672,118611,64345,620,6119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 9th,IL-09,Jan,Schakowsky,(JANN shuh-COW-skee),/dʒæn ʃə.'kaʊ.ski/,1944,Jewish,1998,66.1%,33.9%,D+,15,66.1%,33.9%,D+,14,69.4%,30.6%,D+,16,66.1%,33.9%,66.3%,33.7%,68.0%,8.5%,9.6%,12.1%,0.1%,1.7%,,,141,"213,450","141,000","72,384",66,"194,869","98,924",,,14.9,"200,648","102,686",14.2,"222,256","98,111",15.7,712631,468954,62213,78762,85469,981,16252,564386,383724,47909,54193,68137,764,9659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 10th,IL-10,Bob,Dold,(BAHB DOLD),/bɑb doʊld/,1969,Christian,"2014, 2010-2012",48.7%,51.3%,D+,8,58.3%,41.7%,D+,6,63.7%,36.3%,D+,10,48.7%,51.3%,50.6%,49.4%,64.9%,6.3%,18.1%,9.3%,0.1%,1.3%,,,142,"187,128","91,136","95,992",0,"133,890","130,564",,,8.2,"157,398","112,556",6.3,"180,786","103,178",10.0,712264,433867,46852,152652,64843,1002,13048,525064,341009,32881,95020,48732,721,6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 11th,IL-11,Bill,Foster,(BILL FAW-ster),/bɪl 'fɔ.stəɹ/,1955,Unspecified,"2012, 2008*-2010",53.5%,46.5%,D+,8,58.7%,41.3%,D+,7,62.1%,37.9%,D+,8,53.5%,46.5%,58.6%,41.4%,59.8%,10.4%,21.8%,6.8%,0.1%,1.0%,,,143,"174,772","93,436","81,335",1,"148,928","105,348",,,7.6,"152,265","107,028",6.8,"168,654","102,909",8.4,711647,390596,77737,182106,48032,842,12334,508627,304278,52877,111090,34511,598,5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 12th,IL-12,Mike,Bost,(MIKE BAWST),/maɪk bɔst/,1960,Southern Baptist,2014,41.9%,52.5%,D+,0,50.8%,49.2%,R+,1,55.7%,44.3%,D+,2,44.4%,55.6%,54.7%,45.3%,79.7%,15.5%,2.4%,1.1%,0.2%,1.0%,,,144,"209,738","87,860","110,038","11,840","157,000","129,902",,,0.4,"153,719","149,164",-1.2,"179,180","142,724",2.0,712791,550069,120416,20708,7333,1592,12673,547710,436641,84898,13357,5810,1297,5707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 13th,IL-13,Rodney,Davis,(RAHD-nee DAY-viss),/'ɹɑd.ni 'deɪ.vɪs/,1970,Roman Catholic,2012,41.3%,58.7%,R+,0,49.8%,50.2%,R+,2,55.6%,44.4%,D+,2,41.3%,58.7%,49.8%,50.2%,83.5%,9.1%,2.5%,3.5%,0.2%,1.2%,,,145,"210,272","86,935","123,337",0,"136,032","137,034",,,-0.1,"146,441","147,376",-2.1,"175,215","139,650",2.0,710999,577477,73967,20798,23112,1320,14325,561827,469043,50983,14323,19746,1076,6656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 14th,IL-14,Randy,Hultgren,(RAN-dee HOLT-grin),/'ɹæn.di 'hoʊlt.gɹɪn/,1966,Evangelical,2010,34.6%,65.4%,R+,5,44.9%,55.1%,R+,7,51.2%,48.8%,R+,2,34.6%,65.4%,41.2%,58.8%,83.5%,2.4%,9.4%,3.8%,0.1%,0.8%,,,146,"222,230","76,861","145,369",0,"124,351","177,603",,,-4.8,"139,859","171,584",-7.1,"163,089","155,194",-2.4,711895,574230,18814,80049,28205,898,9699,508613,424746,12216,47669,19479,640,3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 15th,IL-15,John,Shimkus,(JAHN SHIM-cuss),/dʒɑn 'ʃɪm.kəs/,1958,Lutheran,1996,25.1%,74.9%,R+,14,34.8%,65.2%,R+,17,43.6%,56.4%,R+,10,25.1%,74.9%,31.4%,68.6%,92.8%,3.9%,1.9%,0.5%,0.2%,0.7%,,,147,"221,926","55,652","166,274",0,"94,162","205,775",,,-13.7,"105,064","197,242",-17.2,"139,536","180,694",-10.1,713428,655000,28591,16305,3849,1374,8309,550135,510625,21249,10318,2967,1109,3867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 16th,IL-16,Adam,Kinzinger,(ADD-um KIN-zing-er),/'æ.ɾəm 'kɪn.ziŋ.gəɹ/,1978,Protestant,2010,29.4%,70.6%,R+,4,46.1%,53.9%,R+,6,51.0%,49.0%,R+,3,29.4%,70.6%,38.2%,61.8%,88.0%,3.2%,6.5%,1.4%,0.2%,0.7%,,,148,"217,198","63,810","153,388",0,"112,301","181,789",,,-4.3,"137,176","160,614",-5.9,"161,286","155,210",-2.7,713876,610941,23431,59684,9694,1071,9055,544420,479292,17295,35635,7422,818,3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 17th,IL-17,Cheri,Bustos,(SHAIR-ee BOO-stohs),/'ʃɛ.ɹi 'bu.stoʊs/,1961,Roman Catholic,2012,55.5%,44.5%,D+,7,58.6%,41.4%,D+,7,60.9%,39.1%,D+,7,55.5%,44.5%,53.3%,46.7%,81.7%,9.6%,6.4%,1.0%,0.2%,1.1%,,,149,"199,361","110,560","88,785",16,"153,519","134,623",,,7.0,"169,689","119,742",6.7,"185,705","119,094",7.2,712708,554098,77951,57761,7493,1433,13972,545747,445791,52482,34935,5651,1154,5734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois 18th,IL-18,Aaron,Schock,(AIR-uhn SHAHK),/'ɛ.ɹən ʃɑk/,1981,Baptist,2008,25.3%,74.7%,R+,11,38.1%,61.9%,R+,14,44.8%,55.2%,R+,9,25.3%,74.7%,25.8%,74.2%,91.7%,3.4%,1.9%,2.0%,0.2%,0.8%,,,150,"246,740","62,377","184,363",0,"85,164","244,467",,,-11.4,"125,038","202,786",-13.8,"152,164","187,626",-8.9,712949,644226,25551,16720,15286,1161,10005,547688,502334,18770,10546,10975,864,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 1st,IN-01,Pete,Visclosky,(PEET vi-SKLOW-skee) [OW as in cow],/pit vɪ.'sklaʊ.ski/,1949,Roman Catholic,1984,60.8%,35.8%,D+,10,62.1%,37.9%,D+,10,63.9%,36.1%,D+,10,62.9%,37.1%,67.3%,32.7%,67.8%,18.2%,11.7%,1.2%,0.2%,0.9%,,,151,142293,86579,51000,"4,714",187743,91291,,,10.2,"182,021","111,217",10.1,"194,518","109,940",10.2,719572,459201,140935,99421,8425,1438,10152,539744,365848,98416,63019,6532,1068,4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 2nd,IN-02,Jackie,Walorski,(JACK-ee wuh-LORE-skee),/'dʒæ.ki wə.'lɔɹ.ski/,1963,Evangelical,2012,38.3%,58.9%,R+,6,42.9%,57.1%,R+,9,50.1%,49.9%,R+,4,39.4%,60.6%,49.3%,50.7%,85.2%,6.0%,6.3%,1.1%,0.3%,1.0%,,,152,145200,55590,85583,"4,027",130113,134033,,,-6.3,"116,320","154,837",-9.1,"145,652","144,955",-3.6,721243,590503,47848,59526,8058,2138,13170,536097,456670,32369,34000,6065,1609,5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 3rd,IN-03,Marlin,Stutzman,(MAR-lin STUHTS-muhn),/'mɑɹ.lɪn 'stʌts.mən/,1976,Baptist,2010,26.7%,65.8%,R+,13,36.3%,63.7%,R+,16,43.4%,56.6%,R+,10,28.9%,71.1%,33.0%,67.0%,87.8%,5.4%,4.2%,1.4%,0.3%,0.9%,,,153,148793,39771,97892,"11,130",92363,187872,,,-12.9,"102,536","179,629",-15.6,"126,595","164,895",-10.3,720169,613567,42520,38919,11518,1773,11872,526624,462130,28444,22235,7612,1329,4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 4th,IN-04,Todd,Rokita,(TAHD roh-KEE-tuh),/tɑd ɹoʊ.'ki.ɾə/,1970,Roman Catholic,2010,33.1%,66.9%,R+,11,37.7%,62.3%,R+,14,45.1%,54.9%,R+,9,33.1%,66.9%,35.5%,64.5%,89.5%,2.9%,4.1%,2.4%,0.2%,0.9%,,,154,142054,47056,94998,0,93015,168688,,,-11.4,"103,102","170,242",-14.2,"134,036","162,956",-8.6,720466,632668,22272,37835,16067,1471,10153,546655,489418,15709,22492,13226,1143,4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 5th,IN-05,Susan,Brooks,(SOO-zin BROOKS),/'su.zɪn bɹʊks/,1960,Roman Catholic,2012,30.8%,65.2%,R+,9,41.5%,58.5%,R+,11,46.9%,53.1%,R+,7,32.1%,67.9%,39.2%,60.8%,85.0%,7.8%,3.4%,2.6%,0.2%,1.0%,,,155,161440,49756,105277,"6,407",125347,194570,,,-8.6,"139,300","196,743",-10.5,"159,614","180,400",-6.7,719224,595709,58522,30396,19889,1269,13439,535579,455116,41728,18438,14004,986,5307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 6th,IN-06,Luke,Messer,(LOOK MEH-ser),/luk 'mɛ.səɹ/,1969,Presbyterian,2012,29.3%,65.9%,R+,12,38.1%,61.9%,R+,14,44.2%,55.8%,R+,9,30.8%,69.2%,37.3%,62.7%,93.9%,2.4%,1.8%,0.9%,0.2%,0.8%,,,156,155071,45509,102187,"7,375",96678,162613,,,-11.6,"106,365","172,452",-13.8,"133,163","167,842",-9.4,720728,668898,17551,16804,6567,1307,9601,548538,515269,12954,9915,4957,1034,4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 7th,IN-07,André,Carson,(AHN-dray CAR-suhn),/'ɑn.dɹeɪ 'kɑɹ.sən/,1974,Muslim,2008*,54.7%,41.8%,D+,13,64.0%,36.0%,D+,12,66.9%,33.1%,D+,13,56.7%,43.3%,62.9%,37.1%,61.5%,26.7%,8.1%,1.9%,0.3%,1.4%,,,157,112261,61443,46887,"3,931",162122,95828,,,12.6,"164,902","92,674",12.1,"185,588","91,870",13.2,720893,410849,205537,71318,13679,1691,17819,533492,328278,142583,43356,10385,1345,7545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 8th,IN-08,Larry,Bucshon,(LAIR-ee boo-SHAHN),/'lɛə.ɹi bu.'ʃɑn/,1962,Lutheran,2010,35.8%,60.3%,R+,8,40.4%,59.6%,R+,12,48.8%,51.2%,R+,5,37.3%,62.7%,44.6%,55.4%,92.7%,3.9%,1.6%,0.8%,0.2%,0.8%,,,158,171315,61384,103344,"6,587",123741,153765,,,-8.2,"114,907","169,317",-11.5,"149,097","156,720",-4.9,721206,659549,28639,14792,6226,1524,10476,554038,513492,21414,8997,4623,1203,4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana 9th,IN-09,Todd,Young,(TAHD YUHNG),/tɑd jʌŋɡ/,1972,Christian,2010,33.7%,62.2%,R+,9,41.6%,58.4%,R+,10,46.7%,53.3%,R+,7,35.1%,64.9%,44.6%,55.4%,92.1%,2.4%,2.3%,1.9%,0.2%,1.0%,,,159,163387,55016,101594,"6,777",132848,165332,,,-8.7,"123,435","173,431",-10.4,"145,776","166,069",-6.9,720301,655509,18316,20696,12868,1554,11358,554737,511111,13388,12917,10502,1231,5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa 1st,IA-01,Rod,Blum,(RAHD BLUHM),/ɹɑd blʌm/,1955,Episcopalian,2014,48.8%,51.1%,D+,5,56.9%,43.1%,D+,5,59.2%,40.8%,D+,5,48.9%,51.1%,57.8%,42.2%,92.6%,2.7%,2.5%,1.1%,0.3%,0.7%,,,160,"289,306","141,145","147,762",399,222422,162465,,,5.2,"225,570","170,737",5.0,"227,310","156,980",5.5,761548,689523,24450,24970,9042,2447,11116,581256,538410,15917,14320,6621,1726,4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa 2nd,IA-02,Dave,Loebsack,(DAVE LOHB-sack),/deɪv 'loʊb.sæk/,1952,Methodist,2006,52.5%,47.4%,D+,4,56.6%,43.4%,D+,5,57.9%,42.1%,D+,4,52.6%,47.4%,56.7%,43.3%,90.3%,2.8%,3.8%,2.0%,0.2%,0.9%,,,161,"273,329","143,431","129,455",443,211863,161977,,,4.4,"219,946","168,534",4.7,"219,565","159,959",4.2,761624,671512,25097,36511,14845,1511,12148,584497,527905,16655,21953,11589,1166,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa 3rd,IA-03,David,Young,(DAY-vid YUHNG,/'deɪ.vɪd jʌŋɡ/,1968,Lutheran,2014,42.2%,52.8%,R+,0,52.2%,47.8%,D+,0,53.1%,46.9%,R+,1,44.5%,55.5%,45.5%,54.5%,88.6%,3.3%,4.7%,2.3%,0.2%,0.9%,,,162,"282,066","119,109","148,814","14,143",168632,202000,,,-0.2,"203,621","186,645",0.2,"197,112","173,967",-0.6,761612,654386,28351,46515,18409,1729,12222,568128,503240,18482,26956,13181,1234,5035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa 4th,IA-04,Steve,King,(STEEV KING),/stiv kɪŋg/,1949,Roman Catholic,2002,38.3%,61.6%,R+,5,45.9%,54.1%,R+,6,49.1%,50.9%,R+,5,38.3%,61.7%,45.9%,54.1%,92.1%,1.0%,4.3%,1.6%,0.3%,0.6%,,,163,"275,633","105,504","169,834",295,169470,200063,,,-5.3,"173,386","204,677",-6.1,"184,953","191,473",-4.6,761571,685702,9008,43548,12098,2894,8321,584481,538420,6010,25108,9359,1912,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas 1st,KS-01,Tim,Huelskamp,(TIM HYUHL-skamp),/tɪm 'hjʌl.skæmp/,1968,Roman Catholic,2010,32.5%,67.5%,R+,23,28.3%,71.7%,R+,24,31.6%,68.4%,R+,22,32.5%,67.5%,0%,100%,83.0%,2.7%,11.1%,1.6%,0.4%,1.1%,,,164,195717,63577,132140,0,0,211337,,,-22.9,"72,542","184,103",-23.7,"87,634","189,890",-22.1,713394,565705,19788,101043,10692,3162,13004,536568,445393,14611,59726,8456,2353,6029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas 2nd,KS-02,Lynn,Jenkins,(LIN JAYN-kuhnz),/lɪn 'dʒeɪŋ.kənz/,1963,Methodist,2008,38.5%,57.2%,R+,8,43.0%,57.0%,R+,9,46.2%,53.8%,R+,8,40.2%,59.8%,40.7%,59.3%,86.5%,4.5%,4.4%,1.4%,1.5%,1.8%,,,165,221227,85076,126627,"9,524",113089,164618,,,-8.2,"125,345","166,092",-9.0,"145,750","170,059",-7.5,712614,600203,32829,39907,9179,10829,19667,543270,469720,24346,24143,7446,7961,9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas 3rd,KS-03,Kevin,Yoder,(KEV-in YOH-der),/'kɛ.vɪn 'joʊ.ɾəɹ/,1976,Methodist,2010,39.9%,60.0%,R+,6,45.1%,54.9%,R+,7,49.4%,50.6%,R+,4,40.0%,60.0%,0%,100%,76.8%,8.4%,9.4%,3.7%,0.4%,1.4%,,,166,224280,89584,134493,203,0,201087,,,-5.5,"146,406","177,886",-6.8,"168,907","172,831",-4.3,713788,525585,62159,80942,26960,2485,15657,522489,401428,43778,49214,19105,1857,7107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas 4th,KS-04,Mike,Pompeo,(MIKE pahm-PAY-oh),/maɪk pɑm.'peɪ.oʊ/,1963,Presbyterian,2010,33.2%,66.8%,R+,14,36.9%,63.1%,R+,15,40.3%,59.7%,R+,13,33.2%,66.8%,33.7%,66.3%,79.3%,6.4%,8.6%,3.1%,0.9%,1.7%,,,167,203636,67643,135993,0,81770,161094,,,-14.2,"96,433","164,553",-15.0,"112,474","166,876",-13.4,713265,539001,47921,78150,22114,6592,19487,523820,415608,33414,44859,16289,4825,8825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 1st,KY-01,Ed,Whitfield,(ED WITT-feeld),/ɛd 'wɪt.fild/,1943,Methodist,1994,26.9%,73.1%,R+,18,32.6%,67.4%,R+,19,37.4%,62.6%,R+,16,26.9%,73.1%,30.4%,69.6%,89.9%,6.5%,2.0%,0.5%,0.2%,0.0%,,,168,236618,63596,173022,0,87199,199956,,,-17.8,"95,273","197,074",-19.4,"111,030","185,529",-16.2,723331,638962,49550,18499,4009,1476,544,554556,498650,36174,10893,3040,1192,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 2nd,KY-02,Brett,Guthrie,(BRETT GUH-three),/bɹɛt 'gʌ.θɹi/,1964,Churches of Christ,2008,30.8%,69.2%,R+,16,35.7%,64.3%,R+,16,37.7%,62.3%,R+,16,30.8%,69.2%,33.0%,67.0%,90.3%,5.2%,2.3%,1.1%,0.3%,0.0%,,,169,226834,69898,156936,0,89541,181508,,,-16.1,"103,432","186,204",-16.3,"111,139","183,813",-16.0,724739,642527,38566,21050,8305,1752,805,548073,494678,28374,12467,6004,1388,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 3rd,KY-03,John,Yarmuth,(JAHN YAR-muhth,/dʒɑn 'jɑɹ.məθ/,1947,Jewish,2006,63.5%,35.6%,D+,4,56.6%,43.4%,D+,5,56.8%,43.2%,D+,3,64.1%,35.9%,64.9%,35.1%,73.5%,19.2%,3.8%,2.1%,0.2%,0.1%,,,170,247355,157056,87981,"2,318",206385,111452,,,3.8,"183,015","140,539",4.6,"193,236","147,121",3.1,723136,506794,151669,32131,15841,1454,1232,556038,408636,106590,21200,11559,1166,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 4th,KY-04,Thomas,Massie,(TAH-muhs MASS-ee),/'tɑ.məs 'mæ.si/,1971,Christian,2012*,32.3%,67.7%,R+,16,35.5%,64.5%,R+,17,37.6%,62.4%,R+,16,32.3%,67.7%,36.0%,64.0%,92.5%,3.1%,2.3%,1.0%,0.2%,0.1%,,,171,222158,71694,150464,0,104734,186036,,,-16.3,"108,328","197,130",-16.5,"115,487","191,855",-16.1,722466,658904,23007,20832,7570,1269,814,539855,499571,16877,12654,5266,1033,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 5th,KY-05,Hal,Rogers,(HAL RAH-jerz),/hæl 'ɹɑ.dʒəɹz/,1937,Southern Baptist,1980,21.7%,78.3%,R+,25,23.7%,76.3%,R+,28,32.2%,67.8%,R+,22,21.7%,78.3%,22.1%,77.9%,96.5%,1.4%,0.9%,0.3%,0.2%,0.0%,,,172,218967,47617,171350,0,55447,195408,,,-24.9,"60,785","196,166",-28.3,"82,637","174,307",-21.5,723534,696306,9622,7783,2312,1301,247,559487,539975,8078,5012,1669,1080,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky 6th,KY-06,Andy,Barr,(ANN-dee BAR),/'æn.di bɑɹ/,1973,Episcopalian,2012,40.0%,60.0%,R+,9,43.0%,57.0%,R+,9,45.5%,54.5%,R+,8,40.0%,60.0%,48.0%,52.0%,85.3%,8.1%,3.7%,1.7%,0.2%,0.1%,,,173,245694,98290,147404,0,141438,153222,,,-8.6,"128,537","170,076",-8.9,"138,456","165,837",-8.2,722156,602157,60661,32541,12375,1390,992,557982,476004,45022,20661,9321,1113,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana 1st,LA-01,Steve,Scalise,(STEEV skuh-LEES),/stiv skə.'lis/,1965,Roman Catholic,2008*,18.9%,77.6%,R+,26,27.5%,72.5%,R+,24,25.9%,74.1%,R+,28,19.6%,80.4%,22.0%,78.0%,76.6%,11.7%,7.3%,2.0%,1.2%,1.2%,,,174,"244,004","46,047","189,250","8,707",61703,218340,,,-26.2,"89,418","235,877",-24.5,"81,515","233,789",-27.8,756070,563130,98107,57229,14981,9854,12769,580152,444589,67986,42140,11596,6766,7075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana 2nd,LA-02,Cedric,Richmond,(SEH-druhk RICH-muhn),/'sɛ.dʒɹək 'ɹɪtʃ.mən/,1973,Baptist,2010,85.8%,0%,D+,23,76.9%,23.1%,D+,25,74.2%,25.8%,D+,21,100%,0%,82.1%,17.9%,31.8%,58.5%,5.8%,2.6%,0.3%,1.1%,,,175,"221,564","190,000",0,"31,564",230417,50146,,,22.7,"248,982","74,893",24.9,"235,554","81,703",20.6,754952,216579,464219,43268,18854,2148,9884,569251,180954,332980,32766,14768,1609,6174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
